PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
948, 155536738, -0.13581345975399017, 0.6288639903068542, -0.0008074477082118392, 0.7655614018440247, 10.395328521728516, -2.4185550212860107, 2.7920422554016113, 26.406373977661133, -14.3573637008667, 0.7660966515541077, 
949, 155545071, -0.13713255524635315, 0.6292934417724609, 0.0007977658533491194, 0.7649731636047363, 9.864741325378418, -2.9310245513916016, 3.4816462993621826, 27.35958480834961, -13.59754467010498, 1.4429023265838623, 
950, 155553404, -0.13848920166492462, 0.6299281716346741, 0.0025422945618629456, 0.7642021179199219, 9.478861808776855, -3.031489849090576, 3.9411678314208984, 28.77501106262207, -17.555055618286133, 0.9688593745231628, 
951, 155561737, -0.1398937851190567, 0.6309772729873657, 0.004531070124357939, 0.763070821762085, 9.290165901184082, -2.9137635231018066, 4.070629119873047, 30.964399337768555, -25.566204071044922, 0.03834456205368042, 
952, 155570070, -0.14140193164348602, 0.6324449777603149, 0.006874007172882557, 0.7615588903427124, 9.612640380859375, -2.9565038681030273, 3.767641544342041, 34.81455612182617, -33.865482330322266, -1.1707650423049927, 
953, 155578403, -0.14292319118976593, 0.6340442895889282, 0.009526122361421585, 0.759914755821228, 10.011542320251465, -2.8627214431762695, 3.2273006439208984, 37.89054489135742, -37.11864471435547, -3.5166513919830322, 
954, 155586736, -0.14433148503303528, 0.6356604099273682, 0.012471779249608517, 0.7582540512084961, 10.373135566711426, -2.7470462322235107, 2.7729833126068115, 39.97355270385742, -37.9033203125, -7.1571364402771, 
955, 155595069, -0.14554069936275482, 0.6373099684715271, 0.015586191788315773, 0.7565786838531494, 10.608967781066895, -2.4908339977264404, 2.305072069168091, 39.88314437866211, -38.918880462646484, -10.778386116027832, 
956, 155603402, -0.14643515646457672, 0.6389155387878418, 0.01865619607269764, 0.7549808025360107, 10.734516143798828, -2.2933290004730225, 1.460836410522461, 36.781211853027344, -37.592838287353516, -13.722771644592285, 
957, 155611735, -0.14696843922138214, 0.640422523021698, 0.021554898470640182, 0.7535215020179749, 11.097373008728027, -2.297844648361206, 0.680761456489563, 31.942251205444336, -35.27652359008789, -16.400741577148438, 
958, 155620068, -0.14723144471645355, 0.641768217086792, 0.02430727146565914, 0.7522403001785278, 11.258270263671875, -1.824640154838562, 0.11022864282131195, 28.36794662475586, -31.64377212524414, -18.192249298095703, 
959, 155628401, -0.14736993610858917, 0.6426029801368713, 0.026880605146288872, 0.7514128684997559, 12.467586517333984, -1.4421731233596802, -1.0235792398452759, 26.24130630493164, -22.17792510986328, -19.130184173583984, 
