sep=,
DeviceTag:,Xsens DOT
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
SyncStatus:,Un-synced
OutputRate:,60Hz
FilterProfile:,Dynamic
Measurement Mode:,Custom modes - custom mode1
StartTime: ,2024-03-25_18:11:24_874 CET
© Movella Technologies B. V. 2005-2024

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Gyr_X,Gyr_Y,Gyr_Z
226,890296956,-0.615969,0.799780,120.384979,0.005824,-0.018887,0.526012,0.812761,0.389281,1.250444
227,890313623,-0.615889,0.798783,120.387726,-0.009685,-0.019676,0.534315,0.846865,0.384619,1.225087
228,890330290,-0.615692,0.797854,120.388069,-0.011938,-0.006836,0.523019,0.853383,0.388397,1.250329
229,890346957,-0.614518,0.798226,120.391075,-0.006697,0.008756,0.483704,0.911485,0.466119,1.279297
230,890363624,-0.613681,0.797892,120.391495,-0.009201,-0.005535,0.512697,0.891802,0.424127,1.234539
231,890380291,-0.612589,0.797093,120.393860,0.009516,-0.000904,0.519426,0.906376,0.395928,1.284880
232,890396958,-0.612814,0.796747,120.396294,0.000251,-0.012277,0.509947,0.827540,0.423141,1.278951
233,890413625,-0.612457,0.796498,120.396797,-0.004703,-0.018188,0.518621,0.861938,0.428520,1.311838
234,890430292,-0.613385,0.796311,120.399200,-0.005572,-0.020566,0.502706,0.785689,0.432848,1.246986
235,890446959,-0.611953,0.794583,120.400925,0.011646,-0.019329,0.515469,0.927429,0.340527,1.226445
236,890463626,-0.612360,0.794259,120.403885,-0.003451,-0.006993,0.520128,0.815796,0.423640,1.327000
237,890480293,-0.612188,0.794853,120.407509,-0.000955,-0.010076,0.515484,0.851565,0.479527,1.251840
238,890496960,-0.612354,0.794222,120.408913,-0.000589,-0.007331,0.531463,0.831331,0.406070,1.246269
239,890513627,-0.612221,0.794981,120.413788,-0.001335,-0.016373,0.517351,0.848427,0.488812,1.312939
240,890530294,-0.605935,0.813909,120.405571,0.002128,-0.012226,0.532318,0.807588,0.448024,1.277133
241,890546961,-0.605742,0.814310,120.406799,0.009930,-0.007000,0.532865,0.850976,0.462982,1.250918
242,890563628,-0.606177,0.813542,120.409294,0.004739,0.001350,0.522530,0.813030,0.392572,1.270281
243,890580295,-0.606157,0.813239,120.410652,0.007283,-0.014271,0.524274,0.841358,0.421233,1.199654
244,890596962,-0.606056,0.812801,120.412941,-0.013951,-0.008600,0.521255,0.845917,0.412793,1.221399
245,890613629,-0.606415,0.812554,120.415581,-0.006976,-0.004730,0.520036,0.818678,0.424588,1.188999
246,890630296,-0.606140,0.812376,120.417503,-0.012596,-0.005557,0.510607,0.856431,0.428609,1.208068
247,890646963,-0.606200,0.811923,120.419586,-0.005519,-0.000910,0.532464,0.835339,0.411385,1.270563
248,890663630,-0.605829,0.811533,120.422005,0.002554,-0.005414,0.517333,0.861118,0.415163,1.276197
